House ID,Golden Grains
6e33d051,1.20059e+06
6e33d0e0,1.09905e+06
6e33d108,1.15198e+06
6e33d16f,1.37903e+06
6e33d1b1,1.32389e+06
6e33d27e,901913.0
6e33d2a1,1.44307e+06
6e33d34f,1.4116e+06
6e33d359,1.13625e+06
6e33d35f,1.29015e+06
6e33d3a7,1.35729e+06
6e33d3be,1.08372e+06
6e33d3fd,1.2364e+06
6e33d405,1.16207e+06
6e33d40f,1.44807e+06
6e33d449,1.34352e+06
6e33d46f,1.18448e+06
6e33d48d,1.16274e+06
6e33d4c9,1.27084e+06
6e33d501,1.49562e+06
6e33d50d,1.41523e+06
6e33d54a,1.27824e+06
6e33d581,1.21319e+06
6e33d590,1.44968e+06
6e33d5d6,1.62762e+06
6e33d632,1.30996e+06
6e33d656,1.38235e+06
6e33d68b,1.2783e+06
6e33d694,1.43124e+06
6e33d699,1.3783e+06
6e33d707,1.19002e+06
6e33d70c,1.40781e+06
6e33d781,1.40692e+06
6e33d792,1.57237e+06
6e33d7b1,1.28903e+06
6e33d7ba,1.36638e+06
6e33d817,1.28904e+06
6e33d82c,1.35054e+06
6e33d85c,1.46258e+06
6e33d8f9,1.31152e+06
6e33d91a,1.17018e+06
6e33d92d,1.53199e+06
6e33d93c,1.15429e+06
6e33d93f,1.50374e+06
6e33d9c6,1.4812e+06
6e33d9d3,1.3684e+06
6e33d9dd,1.54501e+06
6e33da26,1.146e+06
6e33dae1,1.26778e+06
6e33db61,999916.0
6e33db7f,1.34483e+06
6e33dbd2,1.25566e+06
6e33dc77,1.24897e+06
6e33dcb7,1.15371e+06
6e33dcbb,1.31445e+06
6e33dccb,1.33668e+06
6e33dd37,1.4209e+06
6e33dd66,1.139e+06
6e33dd73,1.32847e+06
6e33ddd0,899139.0
6e33ddfc,1.31748e+06
6e33de61,1.51728e+06
6e33df5c,893549.0
6e33df99,1.41248e+06
6e33dfa4,1.23693e+06
6e33dfa6,1.22183e+06
6e33dfd4,1.37255e+06
6e33e044,1.56055e+06
6e33e07c,1.25004e+06
6e33e093,1.44258e+06
6e33e0c1,1.32259e+06
6e33e0f0,1.31071e+06
6e33e162,1.44756e+06
6e33e182,1.3002e+06
6e33e267,1.50426e+06
6e33e2ce,1.3896e+06
6e33e385,1.25883e+06
6e33e409,1.42963e+06
6e33e476,1.25048e+06
6e33e492,1.47101e+06
6e33e49d,1.11422e+06
6e33e4cd,1.1369e+06
6e33e4d4,999837.0
6e33e50b,1.42392e+06
6e33e56c,1.26406e+06
6e33e579,1.36025e+06
6e33e589,1.20831e+06
6e33e5c2,1.46988e+06
6e33e5cf,1.06273e+06
6e33e634,1.44025e+06
6e33e63b,1.20487e+06
6e33e68e,1.15564e+06
6e33e696,1.05984e+06
6e33e6b7,1.39832e+06
6e33e6d3,1.45371e+06
6e33e710,1.40798e+06
6e33e760,1.2315e+06
6e33e7b3,1.4241e+06
6e33e7f8,1.27773e+06
6e33e831,1.24902e+06
6e33e88c,1.5289e+06
6e33e919,1.45463e+06
6e33e9aa,1.26024e+06
6e33e9fd,1.25085e+06
6e33ea37,1.05207e+06
6e33ea4d,1.03375e+06
6e33ea59,1.31704e+06
6e33ea6c,1.47259e+06
6e33ea97,1.41269e+06
6e33ea9d,1.25807e+06
6e33eabb,1.33981e+06
6e33eb37,1.32976e+06
6e33eb52,878725.0
6e33eb73,1.55982e+06
6e33ebb3,1.43173e+06
6e33ebef,1.20784e+06
6e33ec16,1.47483e+06
6e33ec52,1.38898e+06
6e33ec9c,1.04373e+06
6e33ed0f,1.32642e+06
6e33ed35,1.15026e+06
6e33ed6b,1.46711e+06
6e33ed99,1.19056e+06
6e33ede8,1.30352e+06
6e33edf5,1.5655e+06
6e33ee05,961201.0
6e33ee47,1.52896e+06
6e33eea6,1.5366e+06
6e33f0b8,1.4557e+06
6e33f0de,1.42387e+06
6e33f1ad,1.4087e+06
6e33f227,1.44897e+06
6e33f25f,1.36794e+06
6e33f2d2,1.46075e+06
6e33f332,1.46157e+06
6e33f348,1.40701e+06
6e33f3b0,1.39683e+06
6e33f3b6,1.44697e+06
6e33f3c0,1.35394e+06
6e33f3e5,1.25125e+06
6e33f44b,1.39507e+06
6e33f451,1.28795e+06
6e33f599,1.4239e+06
6e33f60e,953412.0
6e33f628,1.2046e+06
6e33f62b,1.40746e+06
6e33f651,1.26211e+06
6e33f666,1.37846e+06
6e33f699,1.15009e+06
6e33f6dd,1.41948e+06
6e33f70d,1.11871e+06
6e33f71e,1.3315e+06
6e33f767,1.34255e+06
6e33f83b,1.33037e+06
6e33f896,1.3023e+06
6e33f90c,1.48e+06
6e33f93a,1.33587e+06
6e33f93e,1.56066e+06
6e33f94f,1.52799e+06
6e33fa44,1.44485e+06
6e33fa53,1.08376e+06
6e33fa7a,1.36703e+06
6e33facb,1.079e+06
6e33fadc,1.32433e+06
6e33fae8,1.50397e+06
6e33fb19,1.39417e+06
6e33fb24,1.34501e+06
6e33fb62,1.40832e+06
6e33fb77,1.3602e+06
6e33fb83,1.12371e+06
6e33fbc3,1.37643e+06
6e33fbd7,1.44339e+06
6e33fc10,1.38078e+06
6e33fc52,1.53087e+06
6e33fcb6,1.12469e+06
6e33fd3d,1.05244e+06
6e33fd43,1.26107e+06
6e33fd59,1.0687e+06
6e33fd81,1.20066e+06
6e33fd90,1.08971e+06
6e33fe1a,1.46036e+06
6e33fe2d,1.30758e+06
6e33fe38,1.38827e+06
6e33fe4f,1.34319e+06
6e33fe76,1.31038e+06
6e33fea6,1.20123e+06
6e33feb0,1.51482e+06
6e33febd,1.42093e+06
6e33feec,1.43876e+06
6e33fef7,1.54416e+06
6e33ff63,1.31626e+06
6e33ff8a,1.28527e+06
6e33ffd6,1.08113e+06
6e34000c,1.45288e+06
6e340028,1.26118e+06
6e34005c,1.32579e+06
6e3400a3,1.44439e+06
6e3400c6,1.4826e+06
6e3400f3,1.34647e+06
6e34014f,1.2747e+06
6e34020b,1.32943e+06
6e34026f,1.4008e+06
6e340308,1.51265e+06
6e3403d0,1.36594e+06
6e3403ea,1.44931e+06
6e3403ef,1.526e+06
6e34041d,1.17952e+06
6e340459,975706.0
6e340468,1.3938e+06
6e340492,1.56418e+06
6e3404ef,846261.0
6e34055d,1.21093e+06
6e3405f9,1.19179e+06
6e34062e,1.53399e+06
6e340672,1.40123e+06
6e340684,1.09927e+06
6e34068a,1.30979e+06
6e34068e,1.36572e+06
6e33d100,1.20012e+06
6e33d122,1.2524e+06
6e33d19b,1.46994e+06
6e33d25f,1.33606e+06
6e33d26f,1.51438e+06
6e33d31a,980339.0
6e33d34a,1.05905e+06
6e33d39d,1.54918e+06
6e33d3f7,1.60178e+06
6e33d408,1.5407e+06
6e33d482,1.25133e+06
6e33d491,1.42169e+06
6e33d4bc,1.04782e+06
6e33d4c0,1.44098e+06
6e33d586,1.4427e+06
6e33d5aa,1.51992e+06
6e33d5b9,1.33507e+06
6e33d5e7,1.38489e+06
6e33d610,1.37966e+06
6e33d645,1.35861e+06
6e33d76d,1.34371e+06
6e33d78d,1.20527e+06
6e33d7b7,1.46215e+06
6e33d83a,1.06567e+06
6e33d892,1.42791e+06
6e33d8a1,1.41258e+06
6e33d8dc,1.46692e+06
6e33d918,1.16444e+06
6e33d94a,1.17248e+06
6e33d94d,1.24559e+06
6e33d957,1.39914e+06
6e33d98e,1.26506e+06
6e33da57,1.19854e+06
6e33da63,1.3812e+06
6e33daa2,1.03712e+06
6e33dac7,1.05911e+06
6e33daf1,1.18854e+06
6e33db82,1.43803e+06
6e33dbb7,1.29228e+06
6e33dc02,1.48943e+06
6e33dc21,1.30598e+06
6e33dc3a,1.34794e+06
6e33dcbd,1.27038e+06
6e33dcde,1.20482e+06
6e33dd13,1.47502e+06
6e33dd16,1.17979e+06
6e33dd4a,1.45553e+06
6e33dd6b,1.44175e+06
6e33dd75,1.4257e+06
6e33dd7a,1.26374e+06
6e33ddc4,1.35845e+06
6e33de10,1.16871e+06
6e33de47,1.15041e+06
6e33df1f,1.2979e+06
6e33df82,1.52862e+06
6e33dfab,1.28573e+06
6e33dfae,1.47185e+06
6e33dfe1,1.23696e+06
6e33e02c,1.17196e+06
6e33e09f,1.14028e+06
6e33e107,1.26422e+06
6e33e10b,1.07358e+06
6e33e13a,1.38835e+06
6e33e19b,1.28305e+06
6e33e1a3,1.42846e+06
6e33e1e4,1.21792e+06
6e33e1fa,1.39456e+06
6e33e20c,1.40188e+06
6e33e214,1.40217e+06
6e33e22b,1.33315e+06
6e33e284,957234.0
6e33e28c,1.15918e+06
6e33e2ca,1.29587e+06
6e33e2d1,1.32674e+06
6e33e2dd,1.13528e+06
6e33e2f0,1.27183e+06
6e33e2f6,1.39019e+06
6e33e431,1.41564e+06
6e33e444,1.09272e+06
6e33e47a,1.05588e+06
6e33e48f,1.33369e+06
6e33e4b5,1.36891e+06
6e33e4d7,1.4613e+06
6e33e547,1.43818e+06
6e33e59b,1.28213e+06
6e33e5d3,1.32922e+06
6e33e5de,1.36167e+06
6e33e638,1.3653e+06
6e33e649,1.2335e+06
6e33e71c,1.42968e+06
6e33e777,904766.0
6e33e77d,1.04169e+06
6e33e795,1.48955e+06
6e33e7ba,1.18516e+06
6e33e7de,1.36924e+06
6e33e803,1.42249e+06
6e33e8ae,1.31954e+06
6e33e8c8,1.46098e+06
6e33e947,1.32351e+06
6e33e957,1.37742e+06
6e33e996,1.50322e+06
6e33eb44,925518.0
6e33ec01,1.36653e+06
6e33ec79,1.23547e+06
6e33ec85,1.34255e+06
6e33ec96,1.24081e+06
6e33ecac,1.37202e+06
6e33ecc1,1.26607e+06
6e33ece7,1.12221e+06
6e33ed1d,1.03629e+06
6e33ed71,1.51937e+06
6e33ed8c,1.3906e+06
6e33eda3,1.30886e+06
6e33eeba,1.2022e+06
6e33eef0,1.27545e+06
6e33ef05,1.29862e+06
6e33f01e,1.31451e+06
6e33f020,1.26863e+06
6e33f026,1.46049e+06
6e33f032,1.38493e+06
6e33f057,1.31304e+06
6e33f08d,1.18138e+06
6e33f0d8,1.12233e+06
6e33f0e6,1.4606e+06
6e33f102,1.25079e+06
6e33f13c,1.52688e+06
6e33f13f,1.47242e+06
6e33f17e,1.12188e+06
6e33f18b,1.50766e+06
6e33f1e1,1.35503e+06
6e33f255,1.47728e+06
6e33f263,1.4695e+06
6e33f379,1.42207e+06
6e33f3a8,1.23068e+06
6e33f3ac,1.49697e+06
6e33f3eb,1.15628e+06
6e33f3ef,1.6096e+06
6e33f3fc,1.20451e+06
6e33f404,1.17613e+06
6e33f41c,1.03879e+06
6e33f4d3,1.5712e+06
6e33f508,1.25453e+06
6e33f527,1.22333e+06
6e33f531,1.0938e+06
6e33f547,1.36687e+06
6e33f59b,1.16793e+06
6e33f5f1,1.4144e+06
6e33f61b,1.37025e+06
6e33f61d,1.08541e+06
6e33f625,1.27011e+06
6e33f714,1.35736e+06
6e33f72e,1.4137e+06
6e33f785,1.30272e+06
6e33f8f3,1.35161e+06
6e33f8f7,1.31369e+06
6e33f96a,1.28261e+06
6e33f979,1.47762e+06
6e33f9f4,1.3788e+06
6e33fa21,1.26687e+06
6e33fac9,1.19206e+06
6e33fae0,1.33772e+06
6e33fb95,1.40943e+06
6e33fbba,1.26331e+06
6e33fc08,1.40012e+06
6e33fcab,1.23347e+06
6e33fd0f,1.11547e+06
6e33fd9f,1.36845e+06
6e33fdc0,1.45247e+06
6e33fdcc,1.32427e+06
6e33fdf5,1.17047e+06
6e33fe2f,1.38947e+06
6e33fe65,1.32524e+06
6e33fe88,1.0647e+06
6e33fe97,1.4501e+06
6e33feab,1.43466e+06
6e33fed3,1.45024e+06
6e33fee6,1.38064e+06
6e33fefa,1.02166e+06
6e33ff4e,1.30623e+06
6e33ffc3,1.51413e+06
6e33fff8,1.60753e+06
6e340000,943105.0
6e340026,1.23221e+06
6e34004c,1.15133e+06
6e3400dd,1.35263e+06
6e34014c,1.40472e+06
6e340169,1.18742e+06
6e340195,1.4724e+06
6e34021b,979653.0
6e3402e0,1.09322e+06
6e34037e,1.37439e+06
6e340380,1.47893e+06
6e3403ae,1.48959e+06
6e34045e,1.32497e+06
6e34048e,1.54139e+06
6e3404b5,1.32729e+06
6e3404d9,1.12564e+06
6e3404fe,1.44967e+06
6e34050f,1.38894e+06
6e34053d,1.15005e+06
6e340543,1.28687e+06
6e340554,1.29297e+06
6e3405e4,1.16787e+06
6e34060a,1.47525e+06
6e340648,1.09983e+06
6e340657,1.26876e+06
6e3406a9,1.44973e+06
6e33d0a0,1.32537e+06
6e33d0ac,1.43053e+06
6e33d0d5,1.42871e+06
